method,scen,ran,KLdm,KLDs
meta,1,1,0.12449512480791115,0.07312402620269179
meta,1,2,4.170824918179333,2.9536397846263265
meta,1,3,4.0075725117402605,3.617114438393655
meta,2,1,0.13863771893257276,0.044514564986966286
meta,2,2,1.835686308886319,1.857434409706156
meta,2,3,2.0700209440751673,2.2320686474462117
meta,3,1,0.26448149083401834,0.07361282157034361
meta,3,2,4.268437566281247,3.4037582637579527
meta,3,3,4.157800732996833,2.940881879024447
meta,4,1,0.3204128690398183,0.11094122643677734
meta,4,2,2.1197364689212246,1.7576275788367663
meta,4,3,2.404032114946406,1.5790631487658604
metafp,1,1,0.054655492681320826,0.05221231616313606
metafp,1,2,3.612229106079733,2.8247919624854774
metafp,1,3,3.3094636997801987,3.18003655889985
metafp,2,1,0.465262838532595,0.07765960616205184
metafp,2,2,1.9590603410449037,1.7561506639380575
metafp,2,3,2.181967757721023,2.0049129623759625
metafp,3,1,1.028497144057305,0.07821095447803703
metafp,3,2,4.201311761347541,2.6997287338077354
metafp,3,3,4.393319698317343,2.5086726454738475
metafp,4,1,8.39412412138762,0.1817219494164042
metafp,4,2,9.623025481420042,1.791986435578313
metafp,4,3,9.873360235198993,1.9201273889074555
mv,1,1,24.180781836537346,0.779875331882228
mv,1,2,28.02355650909182,6.929918293579324
mv,1,3,26.82952222605372,5.626989185869835
mv,2,1,21.95766522697617,1.144289923643936
mv,2,2,22.708601180946374,6.966155679003037
mv,2,3,22.509866511189074,7.1614322215717054
mv,3,1,41.770170436963504,9.535639907133296
mv,3,2,75.25836152490365,64.87681778116212
mv,3,3,55.945170226408806,43.034387358322746
mv,4,1,54.956904784704086,4.920676562129301
mv,4,2,51.31595385123254,18.46056300723398
mv,4,3,49.37566314159481,21.80218341076287
mvfp,1,1,0.048508767447793186,0.06655039906560674
mvfp,1,2,3.5576804480398985,2.7867891236743474
mvfp,1,3,3.4565284865987693,3.1481859975500712
mvfp,2,1,0.07391940091768773,0.04488149412372897
mvfp,2,2,1.6472444126024886,1.7564269642278811
mvfp,2,3,1.8464338968826548,2.0454202274945876
mvfp,3,1,0.11135238518652175,0.12369560150550704
mvfp,3,2,3.3549120446879246,2.7512645787867642
mvfp,3,3,3.468307781198508,2.4747263427387276
mvfp,4,1,7.246891284323717,0.7441605744247581
mvfp,4,2,9.681483524656771,2.573990086634607
mvfp,4,3,9.457244415121343,2.3932346748275806
